column,column_silver,qid,qname_base,match_method,sub_item,question,parent_question,qtype,selector,force_resp,is_multiselect,value_kind,n_answered,pct_answered,n_distinct,n_options,options,notes
Currency,(드롭됨),QID50,Currency,exact,,"Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in. *",,MC,DL,TRUE,N,categorical,46684,71.3,142,142,"[""EUR European Euro"", ""USD\tUnited States dollar"", ""INR\tIndian rupee"", ""GBP\tPound sterling"", ""CAD\tCanadian dollar"", ""UAH\tUkrainian hryvnia"", ""PLN\tPolish zloty"", ""BRL\tBrazilian real"", ""AUD\tAustralian dollar"", ""SEK\tSwedish krona"", ""CHF\tSwiss franc"", ""RUB\tRussian ruble"", ""CZK\tCzech koruna"", ""ILS\tIsraeli new shekel"", ""DKK\tDanish krone"", ""NOK\tNorwegian krone"", ""TRY\tTurkish lira"", ""NZD\tNew Zealand dollar"", ""MXN\tMexican peso"", ""ZAR\tSouth African rand"", ""HUF\tHungarian forint"", ""RON\tRomanian leu"", ""PKR\tPakistani rupee"", ""IRR\tIranian rial"", ""BGN\tBulgarian lev"", ""CNY\tChinese Yuan Renminbi"", ""JPY\tJapanese yen"", ""BDT\tBangladeshi taka"", ""IDR\tIndonesian rupiah"", ""TWD\tNew Taiwan dollar"", ""VND\tVietnamese dong"", ""ARS\tArgentine peso"", ""COP\tColombian peso"", ""SGD\tSingapore dollar"", ""NGN\tNigerian naira"", ""KRW\tSouth Korean won"", ""AED United Arab Emirates dirham"", ""PHP\tPhilippine peso"", ""RSD\tSerbian dinar"", ""EGP\tEgyptian pound"", ""MYR\tMalaysian ringgit"", ""HKD\tHong Kong dollar"", ""LKR\tSri Lankan rupee"", ""KES\tKenyan shilling"", ""CLP\tChilean peso"", ""THB\tThai baht"", ""NPR\tNepalese rupee"", ""GEL\tGeorgian lari"", ""MAD\tMoroccan dirham"", ""KZT\tKazakhstani tenge"", ""UYU\tUruguayan peso"", ""AMD\tArmenian dram"", ""BAM\tBosnia and Herzegovina convertible mark"", ""BYN\tBelarusian ruble"", ""PEN\tPeruvian sol"", ""TND\tTunisian dinar"", ""SAR\tSaudi Arabian riyal"", ""UZS\tUzbekistani som"", ""GHS\tGhanaian cedi"", ""XOF\tWest African CFA franc"", ""DZD\tAlgerian dinar"", ""ISK\tIcelandic krona"", ""ETB\tEthiopian birr"", ""AFN\tAfghan afghani"", ""JOD\tJordanian dinar"", ""DOP\tDominican peso"", ""IQD\tIraqi dinar"", ""UGX\tUgandan shilling"", ""GTQ\tGuatemalan quetzal"", ""CRC\tCosta Rican colon"", ""PYG\tParaguayan guarani"", ""ALL\tAlbanian lek"", ""MKD\tMacedonian denar"", ""BOB\tBolivian boliviano"", ""AZN\tAzerbaijan manat"", ""KGS\tKyrgyzstani som"", ""MDL\tMoldovan leu"", ""TZS\tTanzanian shilling"", ""SYP\tSyrian pound"", ""XAF\tCentral African CFA franc"", ""AOA\tAngolan kwanza"", ""MUR\tMauritian rupee"", ""ZMW Zambian kwacha"", ""BHD\tBahraini dinar"", ""MMK\tMyanmar kyat"", ""QAR\tQatari riyal"", ""RWF\tRwandan franc"", ""MVR\tMaldivian rufiyaa"", ""KHR\tCambodian riel"", ""MGA\tMalagasy ariary"", ""MNT\tMongolian tugrik"", ""TMT\tTurkmen manat"", ""JMD\tJamaican dollar"", ""TTD\tTrinidad and Tobago dollar"", ""HNL\tHonduran lempira"", ""KWD\tKuwaiti dinar"", ""XPF\tCFP franc"", ""YER\tYemeni rial"", ""OMR\tOmani rial"", ""FJD\tFijian dollar"", ""ANG Netherlands Antillean guilder"", ""TJS\tTajikistani somoni"", ""CUP\tCuban peso"", ""MZN\tMozambican metical"", ""NIO\tNicaraguan cordoba"", ""MWK\tMalawian kwacha"", ""LBP\tLebanese pound"", ""BTN\tBhutanese ngultrum"", ""MOP\tMacanese pataca"", ""SRD\tSurinamese dollar"", ""BIF\tBurundi franc"", ""VES\tVenezuelan bolivar"", ""NAD\tNamibian dollar"", ""GYD\tGuyanese dollar"", ""BND\tBrunei dollar"", ""IMP\tManx pound"", ""CDF\tCongolese franc"", ""SOS\tSomali shilling"", ""GGP\tGuernsey Pound"", ""none\tFaroese krona"", ""SDG\tSudanese pound"", ""SLL\tSierra Leonean leone"", ""KYD\tCayman Islands dollar"", ""BSD\tBahamian dollar"", ""SHP\tSaint Helena pound"", ""SZL\tSwazi lilangeni"", ""BWP\tBotswana pula"", ""none\tCook Islands dollar"", ""KPW\tNorth Korean won"", ""AWG\tAruban florin"", ""BBD\tBarbadian dollar"", ""GIP\tGibraltar pound"", ""KMF\tComorian franc"", ""XDR\tSDR (Special Drawing Right)"", ""XCD\tEast Caribbean dollar"", ""CVE\tCape Verdean escudo"", ""ERN\tEritrean nakfa"", ""LYD\tLibyan dinar"", ""WST\tSamoan tala"", ""MRU\tMauritanian ouguiya"", ""BMD\tBermudian dollar"", ""FKP\tFalkland Islands pound""]",
CompTotal,(드롭됨),QID51,CompTotal,exact,,"What is your current total <b>annual</b> compensation (salary, bonuses, and perks, before taxes and deductions)? Please enter a whole number in the box below, without any punctuation.  If you are paid hourly, please estimate an equivalent yearly salary. If you prefer not to answer, please leave the box empty.",,TE,SL,FALSE,N,numeric,33740,51.6,3337,3337,,
LanguageHaveWorkedWith,LanguageHaveWorkedWith,QID233,Language,prefix,사용 경험,"Which <b>programming, scripting, and markup languages</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,59745,91.3,23864,49,"[""JavaScript"", ""HTML/CSS"", ""Python"", ""SQL"", ""TypeScript"", ""Bash/Shell (all shells)"", ""Java"", ""C#"", ""C++"", ""C"", ""PHP"", ""PowerShell"", ""Go"", ""Rust"", ""Kotlin"", ""Lua"", ""Dart"", ""Assembly"", ""Ruby"", ""Swift"", ""R"", ""Visual Basic (.Net)"", ""MATLAB"", ""VBA"", ""Groovy"", ""Scala"", ""Perl"", ""GDScript"", ""Objective-C"", ""Elixir"", ""Haskell"", ""Delphi"", ""MicroPython"", ""Lisp"", ""Clojure"", ""Julia"", ""Zig"", ""Fortran"", ""Solidity"", ""Ada"", ""Erlang"", ""F#"", ""Apex"", ""Prolog"", ""OCaml"", ""Cobol"", ""Crystal"", ""Nim"", ""Zephyr""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
LanguageWantToWorkWith,LanguageWantToWorkWith,QID233,Language,prefix,사용 희망,"Which <b>programming, scripting, and markup languages</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,55752,85.2,22769,49,"[""Python"", ""JavaScript"", ""SQL"", ""HTML/CSS"", ""TypeScript"", ""Rust"", ""Go"", ""Bash/Shell (all shells)"", ""C#"", ""C++"", ""Java"", ""C"", ""Kotlin"", ""PHP"", ""PowerShell"", ""Swift"", ""Dart"", ""Zig"", ""Lua"", ""Assembly"", ""Elixir"", ""Ruby"", ""Haskell"", ""R"", ""Scala"", ""GDScript"", ""Clojure"", ""F#"", ""Julia"", ""Lisp"", ""Erlang"", ""OCaml"", ""MicroPython"", ""Visual Basic (.Net)"", ""Solidity"", ""MATLAB"", ""Groovy"", ""Perl"", ""VBA"", ""Objective-C"", ""Delphi"", ""Ada"", ""Nim"", ""Fortran"", ""Crystal"", ""Cobol"", ""Prolog"", ""Apex"", ""Zephyr""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
LanguageAdmired,LanguageAdmired,QID233,Language,prefix,선호(admired),"Which <b>programming, scripting, and markup languages</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,50872,77.7,12335,49,"[""JavaScript"", ""Python"", ""SQL"", ""HTML/CSS"", ""TypeScript"", ""Bash/Shell (all shells)"", ""C#"", ""Java"", ""C++"", ""Rust"", ""C"", ""Go"", ""PHP"", ""PowerShell"", ""Kotlin"", ""Dart"", ""Lua"", ""Swift"", ""Ruby"", ""Assembly"", ""R"", ""Elixir"", ""GDScript"", ""Scala"", ""Haskell"", ""Visual Basic (.Net)"", ""Groovy"", ""VBA"", ""MATLAB"", ""Lisp"", ""Clojure"", ""Zig"", ""Perl"", ""MicroPython"", ""Delphi"", ""Julia"", ""Objective-C"", ""Solidity"", ""Erlang"", ""F#"", ""OCaml"", ""Ada"", ""Apex"", ""Fortran"", ""Crystal"", ""Prolog"", ""Cobol"", ""Nim"", ""Zephyr""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
DatabaseHaveWorkedWith,DatabaseHaveWorkedWith,QID262,Database,prefix,사용 경험,"Which <b>database environments </b>have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,50254,76.8,9050,35,"[""PostgreSQL"", ""MySQL"", ""SQLite"", ""Microsoft SQL Server"", ""MongoDB"", ""Redis"", ""MariaDB"", ""Elasticsearch"", ""Oracle"", ""Dynamodb"", ""Firebase Realtime Database"", ""Cloud Firestore"", ""BigQuery"", ""Microsoft Access"", ""Supabase"", ""H2"", ""Cosmos DB"", ""Snowflake"", ""InfluxDB"", ""Cassandra"", ""Databricks SQL"", ""Neo4J"", ""IBM DB2"", ""Clickhouse"", ""Solr"", ""DuckDB"", ""Firebird"", ""Couch DB"", ""Cockroachdb"", ""Couchbase"", ""Presto"", ""Datomic"", ""EventStoreDB"", ""RavenDB"", ""TiDB""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
DatabaseWantToWorkWith,DatabaseWantToWorkWith,QID262,Database,prefix,사용 희망,"Which <b>database environments </b>have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,42558,65.0,8478,35,"[""PostgreSQL"", ""SQLite"", ""MySQL"", ""MongoDB"", ""Redis"", ""Microsoft SQL Server"", ""Elasticsearch"", ""MariaDB"", ""Dynamodb"", ""Supabase"", ""Oracle"", ""BigQuery"", ""Firebase Realtime Database"", ""Cassandra"", ""Cloud Firestore"", ""Snowflake"", ""Cosmos DB"", ""Neo4J"", ""DuckDB"", ""Clickhouse"", ""Databricks SQL"", ""Cockroachdb"", ""InfluxDB"", ""H2"", ""Microsoft Access"", ""Couch DB"", ""Solr"", ""Firebird"", ""IBM DB2"", ""Datomic"", ""Couchbase"", ""EventStoreDB"", ""Presto"", ""TiDB"", ""RavenDB""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
DatabaseAdmired,DatabaseAdmired,QID262,Database,prefix,선호(admired),"Which <b>database environments </b>have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,38557,58.9,4051,35,"[""PostgreSQL"", ""MySQL"", ""SQLite"", ""Microsoft SQL Server"", ""MongoDB"", ""Redis"", ""MariaDB"", ""Elasticsearch"", ""Dynamodb"", ""Oracle"", ""Cloud Firestore"", ""Firebase Realtime Database"", ""BigQuery"", ""Supabase"", ""Cosmos DB"", ""H2"", ""Snowflake"", ""InfluxDB"", ""Clickhouse"", ""Microsoft Access"", ""Databricks SQL"", ""DuckDB"", ""Neo4J"", ""Cassandra"", ""Solr"", ""IBM DB2"", ""Cockroachdb"", ""Firebird"", ""Presto"", ""Couch DB"", ""Datomic"", ""Couchbase"", ""EventStoreDB"", ""RavenDB"", ""TiDB""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
PlatformHaveWorkedWith,PlatformHaveWorkedWith,QID263,Platform,prefix,사용 경험,"Which <b>cloud platforms</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,42366,64.7,5467,27,"[""Amazon Web Services (AWS)"", ""Microsoft Azure"", ""Google Cloud"", ""Cloudflare"", ""Firebase"", ""Vercel"", ""Digital Ocean"", ""Heroku"", ""Netlify"", ""VMware"", ""Hetzner"", ""Supabase"", ""Linode, now Akamai"", ""OVH"", ""Managed Hosting"", ""Oracle Cloud Infrastructure (OCI)"", ""Render"", ""Fly.io"", ""OpenShift"", ""Databricks"", ""PythonAnywhere"", ""Vultr"", ""OpenStack"", ""Alibaba Cloud"", ""IBM Cloud Or Watson"", ""Scaleway"", ""Colocation""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
PlatformWantToWorkWith,PlatformWantToWorkWith,QID263,Platform,prefix,사용 희망,"Which <b>cloud platforms</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,34532,52.8,4784,27,"[""Amazon Web Services (AWS)"", ""Microsoft Azure"", ""Google Cloud"", ""Cloudflare"", ""Firebase"", ""Vercel"", ""Digital Ocean"", ""Hetzner"", ""Supabase"", ""Netlify"", ""Fly.io"", ""Heroku"", ""VMware"", ""Linode, now Akamai"", ""Oracle Cloud Infrastructure (OCI)"", ""Databricks"", ""Managed Hosting"", ""OVH"", ""OpenShift"", ""Render"", ""OpenStack"", ""PythonAnywhere"", ""Vultr"", ""IBM Cloud Or Watson"", ""Alibaba Cloud"", ""Scaleway"", ""Colocation""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
PlatformAdmired,PlatformAdmired,QID263,Platform,prefix,선호(admired),"Which <b>cloud platforms</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,31377,47.9,2556,27,"[""Amazon Web Services (AWS)"", ""Microsoft Azure"", ""Google Cloud"", ""Cloudflare"", ""Firebase"", ""Vercel"", ""Digital Ocean"", ""Hetzner"", ""Netlify"", ""VMware"", ""Supabase"", ""Heroku"", ""Managed Hosting"", ""Linode, now Akamai"", ""OVH"", ""Oracle Cloud Infrastructure (OCI)"", ""Fly.io"", ""Render"", ""OpenShift"", ""Databricks"", ""Vultr"", ""PythonAnywhere"", ""OpenStack"", ""Alibaba Cloud"", ""Scaleway"", ""IBM Cloud Or Watson"", ""Colocation""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
WebframeHaveWorkedWith,WebframeHaveWorkedWith,QID264,Webframe,prefix,사용 경험,"Which <b>web frameworks and web technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,45161,69.0,12235,36,"[""Node.js"", ""React"", ""jQuery"", ""Next.js"", ""Express"", ""Angular"", ""ASP.NET CORE"", ""Vue.js"", ""ASP.NET"", ""Flask"", ""Spring Boot"", ""Django"", ""WordPress"", ""FastAPI"", ""Laravel"", ""AngularJS"", ""Svelte"", ""NestJS"", ""Blazor"", ""Ruby on Rails"", ""Nuxt.js"", ""Htmx"", ""Symfony"", ""Astro"", ""Fastify"", ""Deno"", ""Phoenix"", ""Drupal"", ""Strapi"", ""CodeIgniter"", ""Gatsby"", ""Remix"", ""Solid.js"", ""Yii 2"", ""Play Framework"", ""Elm""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
